Sample,Plot,Stage,Man_Style,Plot_Type,Num_Stage,Date_Collect,OBS,SHNN,INVSMP
X512.V12,512,V12,ORG,Clover,4,7/27/2023,78,1.7342174,3.849136
X807.R3,807,R3,ORG,Fallow,6,9/3/2022,112,1.8071495,4.168534
X308.V12,308,V12,ORG,Radish,4,7/27/2023,64,1.4154687,2.855717
X31.VT,31,VT,CON,CON,5,7/27/2023,65,2.260632,7.002184
X30.R3,30,R3,CON,CON,6,8/13/2022,94,1.6019472,3.689698
X1002.SC,1002,SC,ORG,Triticale,8,11/12/2022,96,2.4060251,6.955656
X807.VT,807,VT,ORG,Fallow,5,8/13/2022,90,1.529545,3.600329
X30.V5,30,V5,CON,CON,3,6/6/2022,102,1.5198997,3.191503
X802.V12,802,V12,ORG,Radish,4,7/27/2023,88,1.466076,3.006738
X305.V12,305,V12,ORG,Triticale,4,7/27/2023,85,2.118013,6.258593
X301.ES,301,ES,ORG,Clover,2,11/12/2022,73,0.9503452,2.053648
X301.R3,301,R3,ORG,Clover,6,9/3/2022,97,1.76386,4.228233
X308.ES,308,ES,ORG,Radish,2,11/12/2022,74,1.1254733,2.250408
X1001.ES,1001,ES,ORG,Fallow,2,11/12/2022,32,1.0598514,2.347772
X31.SC,31,SC,CON,CON,8,11/12/2022,97,2.5642249,7.669812
X301.R5,301,R5,ORG,Clover,7,9/29/2023,108,1.4629216,2.680873
X30.SC,30,SC,CON,CON,8,11/12/2022,122,2.6476953,8.538367
X308.SC,308,SC,ORG,Radish,8,11/12/2022,97,2.290333,6.237938
X807.SC,807,SC,ORG,Fallow,8,11/12/2022,124,2.0615191,5.024224
X512.R5,512,R5,ORG,Clover,7,9/29/2023,109,1.6479956,3.165293
X305.R3,305,R3,ORG,Triticale,6,9/3/2022,112,1.6962149,3.401728
X1002.R5,1002,R5,ORG,Triticale,7,9/29/2023,100,1.715946,3.643751
X1001.SC,1001,SC,ORG,Fallow,8,11/12/2022,130,2.0890807,4.899873
X512.SC,512,SC,ORG,Clover,8,11/12/2022,115,1.9666375,3.954337
X32.V12,32,V12,CON,CON,4,7/6/2022,97,1.4950208,2.597089
X807.R5,807,R5,ORG,Fallow,7,9/29/2023,97,1.5082511,2.775459
X30.V12,30,V12,CON,CON,4,7/6/2022,65,2.2834841,6.137116
X1001.R5,1001,R5,ORG,Fallow,7,9/29/2023,96,1.5456196,2.937289
X512.VT,512,VT,ORG,Clover,5,8/13/2022,86,1.4894773,3.401067
X301.V5,301,V5,ORG,Clover,3,7/5/2022,108,1.7799451,4.013624
CON.2,CON,Seed,CON,CON,1,5/10/2022,87,0.3633123,1.12363
CON.3,CON,Seed,CON,CON,1,5/10/2022,81,0.9799719,2.155779
MCO.2,MCO,Seed,ORG,ORG,1,6/7/2022,95,1.298325,2.780166
MCO.3,MCO,Seed,ORG,ORG,1,6/7/2022,68,0.9915572,1.933695
